Benzene,eq_ratio,X,Y,Temperature
0.0,0.8,0,70,1626.82316470588
0.0,0.8,10,70,1457.39634027778
0.0,0.8,15,70,1326.43572280702
0.0,0.8,20,70,1194.02415767196
0.0,0.8,30,70,1020.1303957672
0.0,0.8,40,70,976.520202564103
0.0,0.8,60,70,973.181963636363
0.0,0.8,100,70,972.806041666667
0.0,0.8,0,80,1599.6995042735
0.0,0.8,10,80,1428.58909166667
0.0,0.8,15,80,1318.32347407407
0.0,0.8,20,80,1213.57036666667
0.0,0.8,30,80,1033.32503921569
0.0,0.8,40,80,978.826296875
0.0,0.8,60,80,976.755715238095
0.0,0.8,100,80,976.447763768116
0.0,0.8,0,100,1534.20178782051
0.0,0.8,10,100,1400.35279308176
0.0,0.8,15,100,1314.55016666667
0.0,0.8,20,100,1228.65045846994
0.0,0.8,30,100,1049.11666885246
0.0,0.8,40,100,990.608313953489
0.0,0.8,60,100,983.268591111111
0.0,0.8,100,100,982.704785714286
0.0,0.8,0,150,1410.96193541667
0.0,0.8,10,150,1339.56626842105
0.0,0.8,15,150,1286.44200952381
0.0,0.8,20,150,1226.56002786885
0.0,0.8,30,150,1111.95011547619
0.0,0.8,40,150,1017.34714262295
0.0,0.8,60,150,988.484482051282
0.0,0.8,100,150,986.511253191489
0.0,0.8,0,200,1328.90378888889
0.0,0.8,10,200,1284.30362666667
0.0,0.8,15,200,1256.59085714286
0.0,0.8,20,200,1215.22691006289
0.0,0.8,30,200,1135.08880655738
0.0,0.8,40,200,1052.5579039548
0.0,0.8,60,200,994.393704878049
0.0,0.8,100,200,988.421801149425
0.0,0.8,0,250,1278.07783333333
0.0,0.8,10,250,1242.6452051282
0.0,0.8,15,250,1215.8192
0.0,0.8,20,250,1196.27858222222
0.0,0.8,30,250,1140.5928237037
0.0,0.8,40,250,1077.74703333333
0.0,0.8,60,250,1007.57777407407
0.0,0.8,100,250,992.954233333333
0.0,0.8,0,300,1231.91035555556
0.0,0.8,10,300,1210.40372952381
0.0,0.8,15,300,1196.58065263158
0.0,0.8,20,300,1175.48963333333
0.0,0.8,30,300,1133.86556666667
0.0,0.8,40,300,1094.73106666667
0.0,0.8,60,300,1026.4046
0.0,0.8,100,300,997.547333333333
0.0,0.8,0,400,1174.22785324074
0.0,0.8,10,400,1158.75616666667
0.0,0.8,15,400,1151.91629166667
0.0,0.8,20,400,1140.68592222222
0.0,0.8,30,400,1114.93043333333
0.0,0.8,40,400,1094.0503
0.0,0.8,60,400,1059.68623040936
0.0,0.8,100,400,1006.58677387387
0.0,0.8,0,500,1164.55189562202
0.0,0.8,10,500,1154.81909342957
0.0,0.8,15,500,1150.05596286021
0.0,0.8,20,500,1134.37956380169
0.0,0.8,30,500,1126.80055171526
0.0,0.8,40,500,1112.64987521071
0.0,0.8,60,500,1078.84589093447
0.0,0.8,100,500,1035.80055171526
0.0,0.91,0,70,1617.2201244186
0.0,0.91,10,70,1496.41672407407
0.0,0.91,15,70,1358.93079259259
0.0,0.91,20,70,1232.82399666667
0.0,0.91,30,70,1023.16662929293
0.0,0.91,40,70,994.097236111111
0.0,0.91,60,70,991.023964583334
0.0,0.91,100,70,990.423766666666
0.0,0.91,0,80,1598.04448559671
0.0,0.91,10,80,1478.02274444444
0.0,0.91,15,80,1348.07314637681
0.0,0.91,20,80,1238.47178333333
0.0,0.91,30,80,1049.0423974359
0.0,0.91,40,80,999.956342528735
0.0,0.91,60,80,996.489163333334
0.0,0.91,100,80,995.832005555555
0.0,0.91,0,100,1563.51759166667
0.0,0.91,10,100,1452.15136969697
0.0,0.91,15,100,1339.24253055556
0.0,0.91,20,100,1247.11655263158
0.0,0.91,30,100,1079.49368796296
0.0,0.91,40,100,1008.67636
0.0,0.91,60,100,1001.59570555556
0.0,0.91,100,100,1001.66472727273
0.0,0.91,0,150,1451.13080666667
0.0,0.91,10,150,1374.27234666667
0.0,0.91,15,150,1314.6980962963
0.0,0.91,20,150,1253.6782125
0.0,0.91,30,150,1131.61953333333
0.0,0.91,40,150,1038.68888888889
0.0,0.91,60,150,1007.26258333333
0.0,0.91,100,150,1008.73268666667
0.0,0.91,0,200,1374.32536666667
0.0,0.91,10,200,1324.38375333333
0.0,0.91,15,200,1290.654490625
0.0,0.91,20,200,1244.98255555556
0.0,0.91,30,200,1156.67760448718
0.0,0.91,40,200,1074.29877809524
0.0,0.91,60,200,1012.88083055556
0.0,0.91,100,200,1011.25364166667
0.0,0.91,0,250,1319.52065333333
0.0,0.91,10,250,1283.19332592593
0.0,0.91,15,250,1258.19295
0.0,0.91,20,250,1227.53798666667
0.0,0.91,30,250,1159.58176190476
0.0,0.91,40,250,1098.87170952381
0.0,0.91,60,250,1023.64952222222
0.0,0.91,100,250,1015.44867666667
0.0,0.91,0,300,1280.02352727273
0.0,0.91,10,300,1252.06724615385
0.0,0.91,15,300,1231.37862222222
0.0,0.91,20,300,1210.47036666667
0.0,0.91,30,300,1161.77007346939
0.0,0.91,40,300,1112.68855072464
0.0,0.91,60,300,1040.56020454545
0.0,0.91,100,300,1018.23760666667
0.0,0.91,0,400,1222.06043
0.0,0.91,10,400,1206.86529583333
0.0,0.91,15,400,1194.03338690476
0.0,0.91,20,400,1183.38443888889
0.0,0.91,30,400,1155.16038888889
0.0,0.91,40,400,1123.43514166667
0.0,0.91,60,400,1073.71081833333
0.0,0.91,100,400,1029.68410555556
0.0,0.91,0,500,1181.28909487179
0.0,0.91,10,500,1171.067195
0.0,0.91,15,500,1163.98955333333
0.0,0.91,20,500,1159.71497708333
0.0,0.91,30,500,1141.13852142857
0.0,0.91,40,500,1122.87274615385
0.0,0.91,60,500,1086.33556111111
0.0,0.91,100,500,1042.35832380952
0.0,1.1,0,70,1605.73901851852
0.0,1.1,10,70,1476.72453333333
0.0,1.1,15,70,1368.61084615385
0.0,1.1,20,70,1252.3514875
0.0,1.1,30,70,983.631501123596
0.0,1.1,40,70,934.692010144928
0.0,1.1,60,70,928.948155555555
0.0,1.1,100,70,927.367393333333
0.0,1.1,0,80,1563.86101333333
0.0,1.1,10,80,1456.2621952381
0.0,1.1,15,80,1366.44704583333
0.0,1.1,20,80,1263.95602695035
0.0,1.1,30,80,1024.80935
0.0,1.1,40,80,938.464977419355
0.0,1.1,60,80,930.845712121212
0.0,1.1,100,80,929.196875757576
0.0,1.1,0,100,1515.08581176471
0.0,1.1,10,100,1420.51027916667
0.0,1.1,15,100,1345.36522083333
0.0,1.1,20,100,1275.61985797101
0.0,1.1,30,100,1056.54103333333
0.0,1.1,40,100,951.525564367816
0.0,1.1,60,100,935.371353703704
0.0,1.1,100,100,934.180060416667
0.0,1.1,0,150,1406.19775555556
0.0,1.1,10,150,1353.2672
